year,month,mean,std,month_start
1982,1,8.13467,0.02869,1982-01-01
1982,2,8.13326,0.02769,1982-02-01
1982,3,8.13252,0.02491,1982-03-01
1982,4,8.13344,0.02293,1982-04-01
1982,5,8.13465,0.02249,1982-05-01
1982,6,8.1333,0.02108,1982-06-01
1982,7,8.13183,0.02146,1982-07-01
1982,8,8.13175,0.02035,1982-08-01
1982,9,8.13284,0.02043,1982-09-01
1982,10,8.13345,0.02225,1982-10-01
1982,11,8.13313,0.02306,1982-11-01
1982,12,8.13318,0.02546,1982-12-01
1983,1,8.13299,0.02807,1983-01-01
1983,2,8.1319,0.02758,1983-02-01
1983,3,8.1306,0.02487,1983-03-01
1983,4,8.13019,0.02284,1983-04-01
1983,5,8.13185,0.02214,1983-05-01
1983,6,8.13125,0.02064,1983-06-01
1983,7,8.12969,0.02012,1983-07-01
1983,8,8.13012,0.02031,1983-08-01
1983,9,8.13038,0.02049,1983-09-01
1983,10,8.12941,0.02197,1983-10-01
1983,11,8.12956,0.02346,1983-11-01
1983,12,8.13168,0.02491,1983-12-01
1984,1,8.13037,0.02728,1984-01-01
1984,2,8.12928,0.02775,1984-02-01
1984,3,8.12923,0.02564,1984-03-01
1984,4,8.12962,0.02311,1984-04-01
1984,5,8.13049,0.02237,1984-05-01
1984,6,8.1297,0.0207,1984-06-01
1984,7,8.12772,0.02041,1984-07-01
1984,8,8.12813,0.02082,1984-08-01
1984,9,8.12795,0.02072,1984-09-01
1984,10,8.12972,0.02251,1984-10-01
1984,11,8.12883,0.02343,1984-11-01
1984,12,8.12938,0.02429,1984-12-01
1985,1,8.12875,0.02653,1985-01-01
1985,2,8.12794,0.02709,1985-02-01
1985,3,8.12758,0.02431,1985-03-01
1985,4,8.12734,0.02212,1985-04-01
1985,5,8.12801,0.02097,1985-05-01
1985,6,8.12884,0.02107,1985-06-01
1985,7,8.12694,0.0209,1985-07-01
1985,8,8.12693,0.02072,1985-08-01
1985,9,8.12688,0.02052,1985-09-01
1985,10,8.12748,0.02231,1985-10-01
1985,11,8.12773,0.02332,1985-11-01
1985,12,8.12794,0.02456,1985-12-01
1986,1,8.12664,0.02724,1986-01-01
1986,2,8.12688,0.02667,1986-02-01
1986,3,8.12617,0.02396,1986-03-01
1986,4,8.12689,0.02167,1986-04-01
1986,5,8.12665,0.02077,1986-05-01
1986,6,8.12651,0.01989,1986-06-01
1986,7,8.1261,0.01995,1986-07-01
1986,8,8.12598,0.01962,1986-08-01
1986,9,8.12685,0.01956,1986-09-01
1986,10,8.12615,0.02107,1986-10-01
1986,11,8.12702,0.02199,1986-11-01
1986,12,8.12728,0.02318,1986-12-01
1987,1,8.12785,0.0264,1987-01-01
1987,2,8.12673,0.02652,1987-02-01
1987,3,8.12525,0.02401,1987-03-01
1987,4,8.12554,0.02128,1987-04-01
1987,5,8.12491,0.01989,1987-05-01
1987,6,8.12494,0.01941,1987-06-01
1987,7,8.12321,0.01961,1987-07-01
1987,8,8.12364,0.01842,1987-08-01
1987,9,8.12374,0.0195,1987-09-01
1987,10,8.12391,0.02042,1987-10-01
1987,11,8.12483,0.02233,1987-11-01
1987,12,8.12468,0.02276,1987-12-01
1988,1,8.12473,0.02687,1988-01-01
1988,2,8.12196,0.02664,1988-02-01
1988,3,8.12118,0.02368,1988-03-01
1988,4,8.12161,0.02127,1988-04-01
1988,5,8.12305,0.02078,1988-05-01
1988,6,8.12197,0.01982,1988-06-01
1988,7,8.12147,0.0199,1988-07-01
1988,8,8.12024,0.0193,1988-08-01
1988,9,8.12085,0.01993,1988-09-01
1988,10,8.12155,0.02296,1988-10-01
1988,11,8.12038,0.02316,1988-11-01
1988,12,8.12127,0.02469,1988-12-01
1989,1,8.12003,0.02676,1989-01-01
1989,2,8.12011,0.02735,1989-02-01
1989,3,8.11851,0.02448,1989-03-01
1989,4,8.1196,0.02152,1989-04-01
1989,5,8.12104,0.02156,1989-05-01
1989,6,8.11982,0.01994,1989-06-01
1989,7,8.11936,0.01998,1989-07-01
1989,8,8.11907,0.02029,1989-08-01
1989,9,8.11949,0.02045,1989-09-01
1989,10,8.12067,0.02209,1989-10-01
1989,11,8.11937,0.02191,1989-11-01
1989,12,8.12068,0.02352,1989-12-01
1990,1,8.12224,0.02717,1990-01-01
1990,2,8.11878,0.0266,1990-02-01
1990,3,8.11929,0.02342,1990-03-01
1990,4,8.11974,0.02108,1990-04-01
1990,5,8.12046,0.02063,1990-05-01
1990,6,8.11992,0.01985,1990-06-01
1990,7,8.11911,0.02005,1990-07-01
1990,8,8.11853,0.01967,1990-08-01
1990,9,8.1185,0.01992,1990-09-01
1990,10,8.11842,0.0214,1990-10-01
1990,11,8.11967,0.02211,1990-11-01
1990,12,8.12032,0.0237,1990-12-01
1991,1,8.12,0.02743,1991-01-01
1991,2,8.11921,0.02668,1991-02-01
1991,3,8.11825,0.02373,1991-03-01
1991,4,8.11798,0.02107,1991-04-01
1991,5,8.11788,0.02062,1991-05-01
1991,6,8.11894,0.02019,1991-06-01
1991,7,8.11676,0.02032,1991-07-01
