year,month,mean_australia,std_australia,mean_southern,std_southern,month_start
1982,1,8.13467,0.02869,8.16447,0.02394,1/01/1982
1982,2,8.13326,0.02769,8.1622,0.02354,1/02/1982
1982,3,8.13252,0.02491,8.15632,0.01842,1/03/1982
1982,4,8.13344,0.02293,8.15062,0.01184,1/04/1982
1982,5,8.13465,0.02249,8.14704,0.00975,1/05/1982
1982,6,8.1333,0.02108,8.13713,0.01109,1/06/1982
1982,7,8.13183,0.02146,8.13095,0.01543,1/07/1982
1982,8,8.13175,0.02035,8.13228,0.01456,1/08/1982
1982,9,8.13284,0.02043,8.13242,0.01352,1/09/1982
1982,10,8.13345,0.02225,8.13395,0.01601,1/10/1982
1982,11,8.13313,0.02306,8.14096,0.01817,1/11/1982
1982,12,8.13318,0.02546,8.15442,0.01531,1/12/1982
1983,1,8.13299,0.02807,8.16159,0.02493,1/01/1983
1983,2,8.1319,0.02758,8.16034,0.02358,1/02/1983
1983,3,8.1306,0.02487,8.15486,0.01705,1/03/1983
1983,4,8.13019,0.02284,8.14767,0.01037,1/04/1983
1983,5,8.13185,0.02214,8.14457,0.00851,1/05/1983
1983,6,8.13125,0.02064,8.13606,0.01003,1/06/1983
1983,7,8.12969,0.02012,8.13008,0.01141,1/07/1983
1983,8,8.13012,0.02031,8.12864,0.01534,1/08/1983
1983,9,8.13038,0.02049,8.12935,0.01556,1/09/1983
1983,10,8.12941,0.02197,8.1325,0.01415,1/10/1983
1983,11,8.12956,0.02346,8.13877,0.01476,1/11/1983
1983,12,8.13168,0.02491,8.1532,0.01637,1/12/1983
1984,1,8.13037,0.02728,8.15563,0.02413,1/01/1984
1984,2,8.12928,0.02775,8.15725,0.02427,1/02/1984
1984,3,8.12923,0.02564,8.15199,0.01826,1/03/1984
1984,4,8.12962,0.02311,8.14727,0.00894,1/04/1984
1984,5,8.13049,0.02237,8.14075,0.00879,1/05/1984
1984,6,8.1297,0.0207,8.13499,0.00923,1/06/1984
1984,7,8.12772,0.02041,8.12731,0.01145,1/07/1984
1984,8,8.12813,0.02082,8.12456,0.01561,1/08/1984
1984,9,8.12795,0.02072,8.12598,0.01355,1/09/1984
1984,10,8.12972,0.02251,8.13319,0.01628,1/10/1984
1984,11,8.12883,0.02343,8.13806,0.0171,1/11/1984
1984,12,8.12938,0.02429,8.14689,0.01453,1/12/1984
1985,1,8.12875,0.02653,8.15511,0.02279,1/01/1985
1985,2,8.12794,0.02709,8.15596,0.02321,1/02/1985
1985,3,8.12758,0.02431,8.14998,0.01672,1/03/1985
1985,4,8.12734,0.02212,8.14305,0.0097,1/04/1985
1985,5,8.12801,0.02097,8.13722,0.00877,1/05/1985
1985,6,8.12884,0.02107,8.13278,0.01107,1/06/1985
1985,7,8.12694,0.0209,8.12786,0.00968,1/07/1985
1985,8,8.12693,0.02072,8.1248,0.01534,1/08/1985
1985,9,8.12688,0.02052,8.12529,0.0136,1/09/1985
1985,10,8.12748,0.02231,8.12906,0.01617,1/10/1985
1985,11,8.12773,0.02332,8.13674,0.01547,1/11/1985
1985,12,8.12794,0.02456,8.14765,0.0156,1/12/1985
1986,1,8.12664,0.02724,8.15292,0.02634,1/01/1986
1986,2,8.12688,0.02667,8.15146,0.02314,1/02/1986
1986,3,8.12617,0.02396,8.14717,0.01673,1/03/1986
1986,4,8.12689,0.02167,8.14346,0.00905,1/04/1986
1986,5,8.12665,0.02077,8.13566,0.00777,1/05/1986
1986,6,8.12651,0.01989,8.12943,0.00682,1/06/1986
1986,7,8.1261,0.01995,8.12636,0.01133,1/07/1986
1986,8,8.12598,0.01962,8.1243,0.01218,1/08/1986
1986,9,8.12685,0.01956,8.12637,0.01125,1/09/1986
1986,10,8.12615,0.02107,8.12804,0.0144,1/10/1986
1986,11,8.12702,0.02199,8.13515,0.01492,1/11/1986
1986,12,8.12728,0.02318,8.14614,0.01534,1/12/1986
1987,1,8.12785,0.0264,8.15319,0.02412,1/01/1987
1987,2,8.12673,0.02652,8.15305,0.02372,1/02/1987
1987,3,8.12525,0.02401,8.14615,0.01751,1/03/1987
1987,4,8.12554,0.02128,8.14081,0.00855,1/04/1987
1987,5,8.12491,0.01989,8.13503,0.00896,1/05/1987
1987,6,8.12494,0.01941,8.12782,0.00929,1/06/1987
1987,7,8.12321,0.01961,8.1213,0.01261,1/07/1987
1987,8,8.12364,0.01842,8.124,0.01083,1/08/1987
1987,9,8.12374,0.0195,8.12137,0.01426,1/09/1987
1987,10,8.12391,0.02042,8.12535,0.01418,1/10/1987
1987,11,8.12483,0.02233,8.13347,0.01515,1/11/1987
1987,12,8.12468,0.02276,8.14234,0.01572,1/12/1987
1988,1,8.12473,0.02687,8.15223,0.02622,1/01/1988
1988,2,8.12196,0.02664,8.14979,0.02447,1/02/1988
1988,3,8.12118,0.02368,8.143,0.0166,1/03/1988
1988,4,8.12161,0.02127,8.13732,0.0101,1/04/1988
1988,5,8.12305,0.02078,8.13192,0.00717,1/05/1988
1988,6,8.12197,0.01982,8.12483,0.00873,1/06/1988
1988,7,8.12147,0.0199,8.12306,0.01172,1/07/1988
1988,8,8.12024,0.0193,8.11872,0.0117,1/08/1988
1988,9,8.12085,0.01993,8.1185,0.01417,1/09/1988
1988,10,8.12155,0.02296,8.12414,0.01845,1/10/1988
1988,11,8.12038,0.02316,8.12904,0.01497,1/11/1988
1988,12,8.12127,0.02469,8.14358,0.01648,1/12/1988
1989,1,8.12003,0.02676,8.14622,0.02599,1/01/1989
1989,2,8.12011,0.02735,8.14696,0.02519,1/02/1989
1989,3,8.11851,0.02448,8.14183,0.01739,1/03/1989
1989,4,8.1196,0.02152,8.13563,0.00942,1/04/1989
1989,5,8.12104,0.02156,8.13253,0.0095,1/05/1989
1989,6,8.11982,0.01994,8.12448,0.00752,1/06/1989
1989,7,8.11936,0.01998,8.11917,0.01134,1/07/1989
1989,8,8.11907,0.02029,8.11638,0.01434,1/08/1989
1989,9,8.11949,0.02045,8.11723,0.01376,1/09/1989
1989,10,8.12067,0.02209,8.12284,0.01574,1/10/1989
1989,11,8.11937,0.02191,8.12845,0.01501,1/11/1989
1989,12,8.12068,0.02352,8.13924,0.01663,1/12/1989
1990,1,8.12224,0.02717,8.1504,0.02574,1/01/1990
1990,2,8.11878,0.0266,8.1464,0.02625,1/02/1990
1990,3,8.11929,0.02342,8.14154,0.01671,1/03/1990
1990,4,8.11974,0.02108,8.13383,0.0094,1/04/1990
1990,5,8.12046,0.02063,8.13089,0.00801,1/05/1990
1990,6,8.11992,0.01985,8.12375,0.0092,1/06/1990
1990,7,8.11911,0.02005,8.11808,0.01394,1/07/1990
1990,8,8.11853,0.01967,8.11525,0.01281,1/08/1990
1990,9,8.1185,0.01992,8.11658,0.01174,1/09/1990
1990,10,8.11842,0.0214,8.11768,0.01458,1/10/1990
1990,11,8.11967,0.02211,8.12591,0.01532,1/11/1990
1990,12,8.12032,0.0237,8.14077,0.01611,1/12/1990
1991,1,8.12,0.02743,8.14781,0.02611,1/01/1991
1991,2,8.11921,0.02668,8.14638,0.02346,1/02/1991
1991,3,8.11825,0.02373,8.1391,0.01758,1/03/1991
1991,4,8.11798,0.02107,8.13194,0.00981,1/04/1991
1991,5,8.11788,0.02062,8.1276,0.00848,1/05/1991
1991,6,8.11894,0.02019,8.12186,0.00962,1/06/1991
1991,7,8.11676,0.02032,8.11328,0.01338,1/07/1991
1991,8,8.11762,0.01944,8.11582,0.01425,1/08/1991
1991,9,8.11749,0.01963,8.11392,0.01398,1/09/1991
1991,10,8.11862,0.02061,8.11989,0.01436,1/10/1991
1991,11,8.11946,0.02179,8.12503,0.01556,1/11/1991
1991,12,8.11891,0.02323,8.1371,0.01707,1/12/1991
1992,1,8.11882,0.02566,8.14419,0.02419,1/01/1992
1992,2,8.11783,0.02594,8.1439,0.02305,1/02/1992
1992,3,8.11817,0.02351,8.1405,0.01611,1/03/1992
1992,4,8.11736,0.02063,8.13176,0.01037,1/04/1992
1992,5,8.11806,0.0202,8.12577,0.00793,1/05/1992
1992,6,8.11741,0.01962,8.11765,0.00948,1/06/1992
1992,7,8.11601,0.01945,8.11396,0.0115,1/07/1992
1992,8,8.11662,0.01957,8.11229,0.01228,1/08/1992
1992,9,8.11612,0.01945,8.11278,0.01094,1/09/1992
1992,10,8.11703,0.02092,8.11591,0.01457,1/10/1992
1992,11,8.11806,0.02206,8.12407,0.01535,1/11/1992
1992,12,8.11867,0.02304,8.13701,0.01737,1/12/1992
1993,1,8.11846,0.02567,8.14472,0.02469,1/01/1993
1993,2,8.11772,0.02569,8.14291,0.02517,1/02/1993
1993,3,8.11652,0.02355,8.13726,0.01862,1/03/1993
1993,4,8.11708,0.02049,8.13106,0.01038,1/04/1993
1993,5,8.11697,0.02019,8.12642,0.00929,1/05/1993
1993,6,8.1168,0.01922,8.1207,0.00786,1/06/1993
1993,7,8.11563,0.0191,8.1154,0.01039,1/07/1993
1993,8,8.11586,0.01905,8.11424,0.01144,1/08/1993
1993,9,8.11508,0.01924,8.11135,0.01109,1/09/1993
1993,10,8.11666,0.02013,8.11738,0.01376,1/10/1993
1993,11,8.11673,0.02191,8.12432,0.01602,1/11/1993
1993,12,8.11678,0.02281,8.1344,0.01736,1/12/1993
1994,1,8.11705,0.02637,8.14263,0.02622,1/01/1994
1994,2,8.11489,0.02554,8.1395,0.02478,1/02/1994
1994,3,8.11379,0.02283,8.13382,0.01776,1/03/1994
1994,4,8.11465,0.02065,8.12956,0.0087,1/04/1994
1994,5,8.11554,0.0206,8.12376,0.00774,1/05/1994
1994,6,8.11441,0.01962,8.11468,0.00997,1/06/1994
1994,7,8.11359,0.01963,8.11244,0.01094,1/07/1994
1994,8,8.11268,0.01899,8.11072,0.01093,1/08/1994
1994,9,8.11325,0.01944,8.10924,0.01186,1/09/1994
1994,10,8.11408,0.02029,8.11444,0.01342,1/10/1994
1994,11,8.11389,0.02141,8.12075,0.01537,1/11/1994
1994,12,8.11419,0.02215,8.13285,0.01556,1/12/1994
1995,1,8.11373,0.02547,8.13928,0.0259,1/01/1995
1995,2,8.11259,0.02584,8.13828,0.02497,1/02/1995
1995,3,8.11197,0.02301,8.13278,0.01593,1/03/1995
1995,4,8.11232,0.02039,8.12602,0.0092,1/04/1995
1995,5,8.11287,0.02008,8.12173,0.00905,1/05/1995
1995,6,8.11199,0.01936,8.11258,0.00789,1/06/1995
1995,7,8.11143,0.02021,8.10652,0.01258,1/07/1995
1995,8,8.11161,0.01913,8.10954,0.01279,1/08/1995
1995,9,8.11152,0.01946,8.11079,0.01036,1/09/1995
1995,10,8.11114,0.02067,8.11136,0.01303,1/10/1995
1995,11,8.11107,0.02182,8.11806,0.01383,1/11/1995
1995,12,8.11116,0.02324,8.13109,0.01718,1/12/1995
1996,1,8.11155,0.02654,8.13782,0.02706,1/01/1996
1996,2,8.10972,0.02633,8.13561,0.02537,1/02/1996
1996,3,8.11068,0.02319,8.13088,0.01762,1/03/1996
1996,4,8.11047,0.02087,8.12446,0.00977,1/04/1996
1996,5,8.11132,0.02041,8.12191,0.00747,1/05/1996
1996,6,8.11118,0.01981,8.11423,0.00727,1/06/1996
1996,7,8.11024,0.02021,8.10902,0.01322,1/07/1996
1996,8,8.11044,0.01986,8.10875,0.01455,1/08/1996
1996,9,8.11094,0.02047,8.10716,0.01535,1/09/1996
1996,10,8.11079,0.02121,8.11301,0.01415,1/10/1996
1996,11,8.11095,0.02217,8.11665,0.01544,1/11/1996
1996,12,8.11164,0.02323,8.13109,0.01769,1/12/1996
1997,1,8.11106,0.02645,8.13748,0.02789,1/01/1997
1997,2,8.11118,0.02635,8.13681,0.02637,1/02/1997
1997,3,8.1099,0.02283,8.13054,0.01908,1/03/1997
1997,4,8.11025,0.0199,8.12456,0.00959,1/04/1997
1997,5,8.11046,0.0199,8.11972,0.00874,1/05/1997
1997,6,8.1099,0.01887,8.11233,0.00922,1/06/1997
1997,7,8.10905,0.01948,8.10984,0.01071,1/07/1997
1997,8,8.10943,0.01949,8.10768,0.01299,1/08/1997
1997,9,8.10904,0.01952,8.10658,0.01237,1/09/1997
1997,10,8.10991,0.02065,8.11104,0.01412,1/10/1997
1997,11,8.10866,0.02178,8.11578,0.01637,1/11/1997
1997,12,8.10875,0.02373,8.13074,0.01821,1/12/1997
1998,1,8.1088,0.0251,8.13395,0.02691,1/01/1998
1998,2,8.10603,0.02528,8.1317,0.02454,1/02/1998
1998,3,8.10659,0.02234,8.12737,0.01691,1/03/1998
