year,month,mean,std,month_start
1982,1,8.16447,0.02394,1982-01-01
1982,2,8.1622,0.02354,1982-02-01
1982,3,8.15632,0.01842,1982-03-01
1982,4,8.15062,0.01184,1982-04-01
1982,5,8.14704,0.00975,1982-05-01
1982,6,8.13713,0.01109,1982-06-01
1982,7,8.13095,0.01543,1982-07-01
1982,8,8.13228,0.01456,1982-08-01
1982,9,8.13242,0.01352,1982-09-01
1982,10,8.13395,0.01601,1982-10-01
1982,11,8.14096,0.01817,1982-11-01
1982,12,8.15442,0.01531,1982-12-01
1983,1,8.16159,0.02493,1983-01-01
1983,2,8.16034,0.02358,1983-02-01
1983,3,8.15486,0.01705,1983-03-01
1983,4,8.14767,0.01037,1983-04-01
1983,5,8.14457,0.00851,1983-05-01
1983,6,8.13606,0.01003,1983-06-01
1983,7,8.13008,0.01141,1983-07-01
1983,8,8.12864,0.01534,1983-08-01
1983,9,8.12935,0.01556,1983-09-01
1983,10,8.1325,0.01415,1983-10-01
1983,11,8.13877,0.01476,1983-11-01
1983,12,8.1532,0.01637,1983-12-01
1984,1,8.15563,0.02413,1984-01-01
1984,2,8.15725,0.02427,1984-02-01
1984,3,8.15199,0.01826,1984-03-01
1984,4,8.14727,0.00894,1984-04-01
1984,5,8.14075,0.00879,1984-05-01
1984,6,8.13499,0.00923,1984-06-01
1984,7,8.12731,0.01145,1984-07-01
1984,8,8.12456,0.01561,1984-08-01
1984,9,8.12598,0.01355,1984-09-01
1984,10,8.13319,0.01628,1984-10-01
1984,11,8.13806,0.0171,1984-11-01
1984,12,8.14689,0.01453,1984-12-01
1985,1,8.15511,0.02279,1985-01-01
1985,2,8.15596,0.02321,1985-02-01
1985,3,8.14998,0.01672,1985-03-01
1985,4,8.14305,0.0097,1985-04-01
1985,5,8.13722,0.00877,1985-05-01
1985,6,8.13278,0.01107,1985-06-01
1985,7,8.12786,0.00968,1985-07-01
1985,8,8.1248,0.01534,1985-08-01
1985,9,8.12529,0.0136,1985-09-01
1985,10,8.12906,0.01617,1985-10-01
1985,11,8.13674,0.01547,1985-11-01
1985,12,8.14765,0.0156,1985-12-01
1986,1,8.15292,0.02634,1986-01-01
1986,2,8.15146,0.02314,1986-02-01
1986,3,8.14717,0.01673,1986-03-01
1986,4,8.14346,0.00905,1986-04-01
1986,5,8.13566,0.00777,1986-05-01
1986,6,8.12943,0.00682,1986-06-01
1986,7,8.12636,0.01133,1986-07-01
1986,8,8.1243,0.01218,1986-08-01
1986,9,8.12637,0.01125,1986-09-01
1986,10,8.12804,0.0144,1986-10-01
1986,11,8.13515,0.01492,1986-11-01
1986,12,8.14614,0.01534,1986-12-01
1987,1,8.15319,0.02412,1987-01-01
1987,2,8.15305,0.02372,1987-02-01
1987,3,8.14615,0.01751,1987-03-01
1987,4,8.14081,0.00855,1987-04-01
1987,5,8.13503,0.00896,1987-05-01
1987,6,8.12782,0.00929,1987-06-01
1987,7,8.1213,0.01261,1987-07-01
1987,8,8.124,0.01083,1987-08-01
1987,9,8.12137,0.01426,1987-09-01
1987,10,8.12535,0.01418,1987-10-01
1987,11,8.13347,0.01515,1987-11-01
1987,12,8.14234,0.01572,1987-12-01
1988,1,8.15223,0.02622,1988-01-01
1988,2,8.14979,0.02447,1988-02-01
1988,3,8.143,0.0166,1988-03-01
1988,4,8.13732,0.0101,1988-04-01
1988,5,8.13192,0.00717,1988-05-01
1988,6,8.12483,0.00873,1988-06-01
1988,7,8.12306,0.01172,1988-07-01
1988,8,8.11872,0.0117,1988-08-01
1988,9,8.1185,0.01417,1988-09-01
1988,10,8.12414,0.01845,1988-10-01
1988,11,8.12904,0.01497,1988-11-01
1988,12,8.14358,0.01648,1988-12-01
1989,1,8.14622,0.02599,1989-01-01
1989,2,8.14696,0.02519,1989-02-01
1989,3,8.14183,0.01739,1989-03-01
1989,4,8.13563,0.00942,1989-04-01
1989,5,8.13253,0.0095,1989-05-01
1989,6,8.12448,0.00752,1989-06-01
1989,7,8.11917,0.01134,1989-07-01
1989,8,8.11638,0.01434,1989-08-01
1989,9,8.11723,0.01376,1989-09-01
1989,10,8.12284,0.01574,1989-10-01
1989,11,8.12845,0.01501,1989-11-01
1989,12,8.13924,0.01663,1989-12-01
1990,1,8.1504,0.02574,1990-01-01
1990,2,8.1464,0.02625,1990-02-01
1990,3,8.14154,0.01671,1990-03-01
1990,4,8.13383,0.0094,1990-04-01
1990,5,8.13089,0.00801,1990-05-01
1990,6,8.12375,0.0092,1990-06-01
1990,7,8.11808,0.01394,1990-07-01
1990,8,8.11525,0.01281,1990-08-01
1990,9,8.11658,0.01174,1990-09-01
1990,10,8.11768,0.01458,1990-10-01
1990,11,8.12591,0.01532,1990-11-01
1990,12,8.14077,0.01611,1990-12-01
1991,1,8.14781,0.02611,1991-01-01
1991,2,8.14638,0.02346,1991-02-01
1991,3,8.1391,0.01758,1991-03-01
1991,4,8.13194,0.00981,1991-04-01
1991,5,8.1276,0.00848,1991-05-01
1991,6,8.12186,0.00962,1991-06-01
1991,7,8.11328,0.01338,1991-07-01
1991,8,8.11582,0.01425,1991-08-01
1991,9,8.11392,0.01398,1991-09-01
1991,10,8.11989,0.01436,1991-10-01
1991,11,8.12503,0.01556,1991-11-01
1991,12,8.1371,0.01707,1991-12-01
1992,1,8.14419,0.02419,1992-01-01
1992,2,8.1439,0.02305,1992-02-01
1992,3,8.1405,0.01611,1992-03-01
1992,4,8.13176,0.01037,1992-04-01
1992,5,8.12577,0.00793,1992-05-01
1992,6,8.11765,0.00948,1992-06-01
1992,7,8.11396,0.0115,1992-07-01
1992,8,8.11229,0.01228,1992-08-01
1992,9,8.11278,0.01094,1992-09-01
1992,10,8.11591,0.01457,1992-10-01
1992,11,8.12407,0.01535,1992-11-01
1992,12,8.13701,0.01737,1992-12-01
1993,1,8.14472,0.02469,1993-01-01
1993,2,8.14291,0.02517,1993-02-01
1993,3,8.13726,0.01862,1993-03-01
1993,4,8.13106,0.01038,1993-04-01
1993,5,8.12642,0.00929,1993-05-01
1993,6,8.1207,0.00786,1993-06-01
1993,7,8.1154,0.01039,1993-07-01
1993,8,8.11424,0.01144,1993-08-01
1993,9,8.11135,0.01109,1993-09-01
1993,10,8.11738,0.01376,1993-10-01
1993,11,8.12432,0.01602,1993-11-01
1993,12,8.1344,0.01736,1993-12-01
1994,1,8.14263,0.02622,1994-01-01
1994,2,8.1395,0.02478,1994-02-01
1994,3,8.13382,0.01776,1994-03-01
1994,4,8.12956,0.0087,1994-04-01
1994,5,8.12376,0.00774,1994-05-01
1994,6,8.11468,0.00997,1994-06-01
1994,7,8.11244,0.01094,1994-07-01
1994,8,8.11072,0.01093,1994-08-01
1994,9,8.10924,0.01186,1994-09-01
1994,10,8.11444,0.01342,1994-10-01
1994,11,8.12075,0.01537,1994-11-01
1994,12,8.13285,0.01556,1994-12-01
1995,1,8.13928,0.0259,1995-01-01
1995,2,8.13828,0.02497,1995-02-01
1995,3,8.13278,0.01593,1995-03-01
1995,4,8.12602,0.0092,1995-04-01
1995,5,8.12173,0.00905,1995-05-01
1995,6,8.11258,0.00789,1995-06-01
1995,7,8.10652,0.01258,1995-07-01
1995,8,8.10954,0.01279,1995-08-01
1995,9,8.11079,0.01036,1995-09-01
1995,10,8.11136,0.01303,1995-10-01
1995,11,8.11806,0.01383,1995-11-01
1995,12,8.13109,0.01718,1995-12-01
1996,1,8.13782,0.02706,1996-01-01
1996,2,8.13561,0.02537,1996-02-01
1996,3,8.13088,0.01762,1996-03-01
1996,4,8.12446,0.00977,1996-04-01
1996,5,8.12191,0.00747,1996-05-01
1996,6,8.11423,0.00727,1996-06-01
1996,7,8.10902,0.01322,1996-07-01
1996,8,8.10875,0.01455,1996-08-01
1996,9,8.10716,0.01535,1996-09-01
1996,10,8.11301,0.01415,1996-10-01
1996,11,8.11665,0.01544,1996-11-01
1996,12,8.13109,0.01769,1996-12-01
1997,1,8.13748,0.02789,1997-01-01
1997,2,8.13681,0.02637,1997-02-01
1997,3,8.13054,0.01908,1997-03-01
1997,4,8.12456,0.00959,1997-04-01
1997,5,8.11972,0.00874,1997-05-01
1997,6,8.11233,0.00922,1997-06-01
1997,7,8.10984,0.01071,1997-07-01
1997,8,8.10768,0.01299,1997-08-01
1997,9,8.10658,0.01237,1997-09-01
1997,10,8.11104,0.01412,1997-10-01
1997,11,8.11578,0.01637,1997-11-01
1997,12,8.13074,0.01821,1997-12-01
1998,1,8.13395,0.02691,1998-01-01
1998,2,8.1317,0.02454,1998-02-01
1998,3,8.12737,0.01691,1998-03-01
1998,4,8.1233,0.01143,1998-04-01
1998,5,8.11723,0.0088,1998-05-01
1998,6,8.11167,0.00821,1998-06-01
1998,7,8.10656,0.01101,1998-07-01
1998,8,8.10373,0.01281,1998-08-01
1998,9,8.10559,0.01558,1998-09-01
1998,10,8.10735,0.01486,1998-10-01
1998,11,8.11181,0.01392,1998-11-01
1998,12,8.12623,0.0184,1998-12-01
1999,1,8.13054,0.02844,1999-01-01
1999,2,8.12689,0.02525,1999-02-01
1999,3,8.12178,0.01576,1999-03-01
1999,4,8.11942,0.01146,1999-04-01
1999,5,8.11712,0.01003,1999-05-01
1999,6,8.10985,0.01067,1999-06-01
1999,7,8.10585,0.01156,1999-07-01
1999,8,8.10233,0.01393,1999-08-01
1999,9,8.10142,0.01415,1999-09-01
1999,10,8.1053,0.01226,1999-10-01
1999,11,8.11052,0.01377,1999-11-01
1999,12,8.12761,0.01866,1999-12-01
2000,1,8.13602,0.02774,2000-01-01
2000,2,8.13169,0.02605,2000-02-01
2000,3,8.12322,0.01666,2000-03-01
2000,4,8.11859,0.00941,2000-04-01
2000,5,8.11598,0.00942,2000-05-01
2000,6,8.1087,0.00989,2000-06-01
2000,7,8.10238,0.0129,2000-07-01
2000,8,8.09894,0.0127,2000-08-01
2000,9,8.09919,0.01409,2000-09-01
2000,10,8.10465,0.01304,2000-10-01
2000,11,8.10653,0.01475,2000-11-01
2000,12,8.12112,0.01751,2000-12-01
2001,1,8.12648,0.02435,2001-01-01
2001,2,8.12371,0.02206,2001-02-01
2001,3,8.11735,0.01741,2001-03-01
2001,4,8.11459,0.01014,2001-04-01
2001,5,8.10847,0.00789,2001-05-01
2001,6,8.10453,0.00766,2001-06-01
2001,7,8.09711,0.01125,2001-07-01
2001,8,8.09808,0.01214,2001-08-01
2001,9,8.09782,0.01223,2001-09-01
2001,10,8.10022,0.01245,2001-10-01
2001,11,8.10524,0.01387,2001-11-01
2001,12,8.12077,0.0196,2001-12-01
2002,1,8.12795,0.03327,2002-01-01
2002,2,8.1243,0.02847,2002-02-01
2002,3,8.11588,0.01564,2002-03-01
2002,4,8.11098,0.01079,2002-04-01
2002,5,8.10595,0.00694,2002-05-01
2002,6,8.10174,0.00832,2002-06-01
2002,7,8.09591,0.0122,2002-07-01
2002,8,8.09421,0.01072,2002-08-01
2002,9,8.09443,0.01318,2002-09-01
2002,10,8.09505,0.01422,2002-10-01
2002,11,8.10235,0.01375,2002-11-01
2002,12,8.11392,0.0177,2002-12-01
2003,1,8.12001,0.02671,2003-01-01
2003,2,8.11923,0.02492,2003-02-01
2003,3,8.1139,0.01918,2003-03-01
2003,4,8.10912,0.01216,2003-04-01
2003,5,8.10481,0.00858,2003-05-01
2003,6,8.0974,0.00785,2003-06-01
2003,7,8.09441,0.01054,2003-07-01
2003,8,8.0941,0.01205,2003-08-01
2003,9,8.09349,0.0139,2003-09-01
2003,10,8.09514,0.01332,2003-10-01
2003,11,8.10309,0.01674,2003-11-01
2003,12,8.11496,0.01726,2003-12-01
2004,1,8.12212,0.02741,2004-01-01
2004,2,8.11903,0.02641,2004-02-01
2004,3,8.11477,0.01933,2004-03-01
2004,4,8.10778,0.01248,2004-04-01
2004,5,8.10338,0.00801,2004-05-01
2004,6,8.10047,0.00817,2004-06-01
2004,7,8.09407,0.01022,2004-07-01
2004,8,8.09071,0.01214,2004-08-01
2004,9,8.09279,0.0128,2004-09-01
2004,10,8.09419,0.01417,2004-10-01
2004,11,8.10066,0.01455,2004-11-01
2004,12,8.11433,0.02086,2004-12-01
2005,1,8.12357,0.03024,2005-01-01
2005,2,8.11804,0.02772,2005-02-01
2005,3,8.11075,0.01868,2005-03-01
2005,4,8.1087,0.01208,2005-04-01
2005,5,8.10336,0.00802,2005-05-01
2005,6,8.09466,0.00811,2005-06-01
2005,7,8.09272,0.01097,2005-07-01
2005,8,8.09227,0.01148,2005-08-01
2005,9,8.09122,0.01276,2005-09-01
2005,10,8.09272,0.01268,2005-10-01
2005,11,8.09849,0.01441,2005-11-01
2005,12,8.1145,0.01947,2005-12-01
2006,1,8.12595,0.0308,2006-01-01
2006,2,8.12069,0.0325,2006-02-01
2006,3,8.11171,0.02255,2006-03-01
2006,4,8.10416,0.01118,2006-04-01
2006,5,8.10176,0.01006,2006-05-01
2006,6,8.09558,0.00833,2006-06-01
2006,7,8.09106,0.01006,2006-07-01
2006,8,8.08667,0.01462,2006-08-01
2006,9,8.08964,0.01288,2006-09-01
2006,10,8.09273,0.01267,2006-10-01
2006,11,8.09684,0.01417,2006-11-01
2006,12,8.11535,0.02385,2006-12-01
2007,1,8.12342,0.03273,2007-01-01
2007,2,8.11903,0.03251,2007-02-01
2007,3,8.11125,0.02031,2007-03-01
2007,4,8.10267,0.01187,2007-04-01
2007,5,8.10058,0.00833,2007-05-01
2007,6,8.09247,0.00753,2007-06-01
2007,7,8.0845,0.01177,2007-07-01
2007,8,8.08646,0.01259,2007-08-01
2007,9,8.08547,0.01319,2007-09-01
2007,10,8.08923,0.01474,2007-10-01
2007,11,8.09372,0.01473,2007-11-01
2007,12,8.10574,0.01703,2007-12-01
2008,1,8.11326,0.02784,2008-01-01
2008,2,8.10986,0.02701,2008-02-01
2008,3,8.1069,0.01945,2008-03-01
2008,4,8.10061,0.01179,2008-04-01
2008,5,8.0952,0.00886,2008-05-01
2008,6,8.09198,0.0076,2008-06-01
2008,7,8.0846,0.00928,2008-07-01
2008,8,8.08282,0.00966,2008-08-01
2008,9,8.08609,0.01237,2008-09-01
2008,10,8.08924,0.01262,2008-10-01
2008,11,8.09394,0.01615,2008-11-01
2008,12,8.11026,0.01978,2008-12-01
2009,1,8.11735,0.02944,2009-01-01
2009,2,8.1103,0.02761,2009-02-01
2009,3,8.1064,0.01983,2009-03-01
2009,4,8.10005,0.01157,2009-04-01
2009,5,8.09252,0.00829,2009-05-01
2009,6,8.08722,0.00756,2009-06-01
2009,7,8.08332,0.01038,2009-07-01
2009,8,8.0831,0.01281,2009-08-01
2009,9,8.08119,0.01268,2009-09-01
2009,10,8.08488,0.01183,2009-10-01
2009,11,8.09245,0.01618,2009-11-01
2009,12,8.10923,0.01902,2009-12-01
2010,1,8.11655,0.02924,2010-01-01
2010,2,8.11356,0.02991,2010-02-01
2010,3,8.10894,0.02122,2010-03-01
2010,4,8.10054,0.01266,2010-04-01
2010,5,8.0931,0.00981,2010-05-01
2010,6,8.08837,0.0074,2010-06-01
2010,7,8.08416,0.00852,2010-07-01
2010,8,8.0814,0.00968,2010-08-01
2010,9,8.08029,0.01246,2010-09-01
2010,10,8.08477,0.01302,2010-10-01
2010,11,8.09317,0.01597,2010-11-01
2010,12,8.10851,0.02202,2010-12-01
2011,1,8.11517,0.03002,2011-01-01
2011,2,8.1135,0.03372,2011-02-01
2011,3,8.10465,0.02322,2011-03-01
2011,4,8.09708,0.01297,2011-04-01
2011,5,8.09379,0.01012,2011-05-01
2011,6,8.08764,0.00785,2011-06-01
2011,7,8.08086,0.01026,2011-07-01
2011,8,8.07969,0.01245,2011-08-01
2011,9,8.07967,0.01325,2011-09-01
2011,10,8.0832,0.01403,2011-10-01
2011,11,8.09013,0.01622,2011-11-01
2011,12,8.10234,0.01899,2011-12-01
2012,1,8.11077,0.02954,2012-01-01
2012,2,8.10468,0.02467,2012-02-01
2012,3,8.10125,0.01916,2012-03-01
