year,season,lat,sst
1980,Autumn,-40.0,15.490205435897437
1980,Autumn,-30.0,22.99276204761905
1980,Autumn,-20.0,27.257046666666668
1980,Autumn,-10.0,28.702981705128206
1980,Spring,-40.0,12.91245166025641
1980,Spring,-30.0,20.174099904761906
1980,Spring,-20.0,24.629579484848488
1980,Spring,-10.0,27.724494435897437
1980,Summer,-40.0,15.67846087820513
1980,Summer,-30.0,23.28252119047619
1980,Summer,-20.0,27.528624939393936
1980,Summer,-10.0,28.99433358974359
1980,Winter,-40.0,12.969007275641026
1980,Winter,-30.0,20.11695119047619
1980,Winter,-20.0,24.19780912121212
1980,Winter,-10.0,26.780640782051282
1981,Autumn,-40.0,15.937663967948717
1981,Autumn,-30.0,23.02935723809524
1981,Autumn,-20.0,27.308312
1981,Autumn,-10.0,28.780231782051278
1981,Spring,-40.0,12.755193147435897
1981,Spring,-30.0,20.089916142857145
1981,Spring,-20.0,24.77438015151515
1981,Spring,-10.0,28.084037051282053
1981,Summer,-40.0,16.226123435897435
1981,Summer,-30.0,23.199176380952384
1981,Summer,-20.0,27.29293481818182
1981,Summer,-10.0,29.039976628205128
1981,Winter,-40.0,12.963608378205128
1981,Winter,-30.0,19.91008042857143
1981,Winter,-20.0,24.301265666666666
1981,Winter,-10.0,27.290152602564103
1982,Autumn,-40.0,15.651069878205128
1982,Autumn,-30.0,22.872310142857145
1982,Autumn,-20.0,27.024677424242423
1982,Autumn,-10.0,28.46312873076923
1982,Spring,-40.0,13.159197993589743
1982,Spring,-30.0,19.925533904761906
1982,Spring,-20.0,24.371911575757576
1982,Spring,-10.0,26.86051065384616
1982,Summer,-40.0,15.987485012820514
1982,Summer,-30.0,23.085933714285716
1982,Summer,-20.0,27.46879072727273
1982,Summer,-10.0,28.99264532051282
1982,Winter,-40.0,13.03275908974359
1982,Winter,-30.0,19.967095142857143
1982,Winter,-20.0,23.91758296969697
1982,Winter,-10.0,26.018285025641024
1983,Autumn,-40.0,15.830757871794871
1983,Autumn,-30.0,23.344922523809526
1983,Autumn,-20.0,27.506532606060603
1983,Autumn,-10.0,29.09041514102564
1983,Spring,-40.0,13.199607365384614
1983,Spring,-30.0,20.604757285714285
1983,Spring,-20.0,25.116523
1983,Spring,-10.0,27.963733602564105
1983,Summer,-40.0,16.002587480769233
1983,Summer,-30.0,23.167508666666667
1983,Summer,-20.0,27.335912121212118
1983,Summer,-10.0,29.17567203846154
1983,Winter,-40.0,13.12769673076923
1983,Winter,-30.0,20.559636333333334
1983,Winter,-20.0,24.456090303030305
1983,Winter,-10.0,26.608531602564103
1984,Autumn,-40.0,15.672488166666668
1984,Autumn,-30.0,22.668639904761903
1984,Autumn,-20.0,27.19034103030303
1984,Autumn,-10.0,28.565924461538458
1984,Spring,-40.0,13.033542794871794
1984,Spring,-30.0,20.374381714285715
1984,Spring,-20.0,24.858413000000002
1984,Spring,-10.0,27.964598435897432
1984,Summer,-40.0,16.02965519230769
1984,Summer,-30.0,22.956356666666665
1984,Summer,-20.0,27.468030484848484
1984,Summer,-10.0,29.15469121794872
1984,Winter,-40.0,13.163502346153848
1984,Winter,-30.0,20.241838333333334
1984,Winter,-20.0,24.34474884848485
1984,Winter,-10.0,26.504563025641023
1985,Autumn,-40.0,16.09764057051282
1985,Autumn,-30.0,23.20607085714286
1985,Autumn,-20.0,27.327937909090906
1985,Autumn,-10.0,28.90064462820513
1985,Spring,-40.0,13.506014826923076
1985,Spring,-30.0,19.974993142857144
1985,Spring,-20.0,24.56472393939394
1985,Spring,-10.0,27.906252500000004
1985,Summer,-40.0,16.15850296153846
1985,Summer,-30.0,23.032625952380954
1985,Summer,-20.0,27.51611215151515
1985,Summer,-10.0,29.27118452564103
1985,Winter,-40.0,13.39682085897436
1985,Winter,-30.0,20.20335885714286
1985,Winter,-20.0,24.125605545454547
1985,Winter,-10.0,26.792262987179488
1986,Autumn,-40.0,15.613538833333331
1986,Autumn,-30.0,23.004776142857143
1986,Autumn,-20.0,27.26312587878788
1986,Autumn,-10.0,28.853782525641023
1986,Spring,-40.0,12.961292423076921
1986,Spring,-30.0,20.32034247619048
1986,Spring,-20.0,24.408738
1986,Spring,-10.0,27.806365820512823
1986,Summer,-40.0,15.990647025641024
1986,Summer,-30.0,22.88239157142857
1986,Summer,-20.0,27.273925333333327
1986,Summer,-10.0,29.05186073076923
1986,Winter,-40.0,13.207112102564103
1986,Winter,-30.0,20.13033119047619
1986,Winter,-20.0,24.025530757575755
1986,Winter,-10.0,27.08938555128205
1987,Autumn,-40.0,15.103705128205128
1987,Autumn,-30.0,22.88861961904762
1987,Autumn,-20.0,27.045382151515145
1987,Autumn,-10.0,28.579897948717953
1987,Spring,-40.0,13.332234743589744
1987,Spring,-30.0,20.344118761904763
1987,Spring,-20.0,24.582266151515153
1987,Spring,-10.0,27.57719343589744
1987,Summer,-40.0,15.425589500000001
1987,Summer,-30.0,23.00208566666667
1987,Summer,-20.0,27.10405533333333
1987,Summer,-10.0,29.00622424358974
1987,Winter,-40.0,13.105335108974359
1987,Winter,-30.0,20.497635857142857
1987,Winter,-20.0,24.33384687878788
1987,Winter,-10.0,26.611807564102563
1988,Autumn,-40.0,16.315034923076922
1988,Autumn,-30.0,23.403537380952383
1988,Autumn,-20.0,27.762215484848486
1988,Autumn,-10.0,29.057454987179486
1988,Spring,-40.0,13.289864794871795
1988,Spring,-30.0,20.738984095238095
1988,Spring,-20.0,25.55465296969697
1988,Spring,-10.0,28.48752371794872
1988,Summer,-40.0,16.31123408974359
1988,Summer,-30.0,23.35419314285714
1988,Summer,-20.0,27.678205818181812
1988,Summer,-10.0,29.172970461538466
1988,Winter,-40.0,13.76336219230769
1988,Winter,-30.0,20.617655142857142
1988,Winter,-20.0,24.895511303030304
1988,Winter,-10.0,27.147250282051278
1989,Autumn,-40.0,16.619413089743592
1989,Autumn,-30.0,23.47520623809524
1989,Autumn,-20.0,27.328278121212122
1989,Autumn,-10.0,28.77377173076923
1989,Spring,-40.0,13.318998942307692
1989,Spring,-30.0,20.236684047619047
1989,Spring,-20.0,24.912298909090907
1989,Spring,-10.0,28.23008608974359
1989,Summer,-40.0,16.539030615384615
1989,Summer,-30.0,23.109401523809524
1989,Summer,-20.0,27.551062181818182
1989,Summer,-10.0,29.25674908974359
1989,Winter,-40.0,13.744616512820514
1989,Winter,-30.0,20.392420904761906
1989,Winter,-20.0,24.390348636363637
1989,Winter,-10.0,27.411779948717953
1990,Autumn,-40.0,16.55982016025641
1990,Autumn,-30.0,23.27050680952381
1990,Autumn,-20.0,27.388113727272724
1990,Autumn,-10.0,28.98150521794872
1990,Spring,-40.0,13.284766852564104
1990,Spring,-30.0,19.874301857142857
1990,Spring,-20.0,24.720410575757573
